state,year,pop_0_24,pop_25_44,pop_45_64,pop_65_74,pop_75_84,pop_85,pop_total
Kansas,2017,1000097,724199,716523,254281,128683,65166,2888949
Kentucky,2017,1423235,1124572,1180780,424624,205358,80292,4438861
Louisiana,2017,1533336,1241760,1183127,416483,201340,79975,4656021
Maine,2017,361382,308918,397343,158322,75294,33202,1334461
Maryland,2017,1874228,1573952,1640963,531913,254423,116454,5991933
Massachusetts,2017,2074885,1805485,1872477,635483,310742,159438,6858510
Michigan,2017,3154747,2430877,2722713,978054,473581,213013,9972985
Minnesota,2017,1802764,1447653,1458205,492357,245703,120594,5567276
Mississippi,2017,1004365,752402,758847,273867,135845,51538,2976864
Missouri,2017,1946738,1547377,1593988,578319,297015,131070,6094507
Montana,2017,327300,257490,274948,114780,53173,22565,1050256
Nebraska,2017,664664,485276,466233,166298,84842,43015,1910328
Nevada,2017,925926,819617,758513,284549,130666,41850,2961121
New Hampshire,2017,388449,318629,406197,141789,64093,29896,1349053
New Jersey,2017,2733549,2267373,2468622,796614,409959,202609,8878726
New Mexico,2017,684762,523741,520018,210611,102200,39851,2081183
New York,2017,5931368,5285598,5202742,1775617,917578,454986,19567889
North Carolina,2017,3236347,2609379,2701788,980000,466501,181762,10175777
North Dakota,2017,260399,198971,176940,61663,32723,18848,749544
Ohio,2017,3682070,2903206,3130440,1119178,564933,256244,11656071
Oklahoma,2017,1331971,1019820,959454,350486,180936,72121,3914788
Oregon,2017,1236473,1137148,1062317,431810,193283,83799,4144830
Pennsylvania,2017,3835727,3167446,3506659,1278528,664587,335843,12788790
Rhode Island,2017,319084,264964,291123,100144,49517,27946,1052778
South Carolina,2017,1553840,1252113,1316873,533614,244897,86602,4987939
South Dakota,2017,298980,214558,215644,80922,39225,20922,870251
Tennessee,2017,2113688,1740457,1765466,644876,311650,118615,6694752
Texas,2017,10092367,7925561,6701386,2081015,984884,390046,28175259
Utah,2017,1274393,877913,612649,200422,96483,36970,3098830
Vermont,2017,184443,142860,180318,70838,31772,14301,624532
Virginia,2017,2649050,2204351,2231794,759854,364123,148570,8357742
Washington,2017,2291754,2070001,1897735,681958,302306,131748,7375502
West Virginia,2017,528222,435707,500830,208813,103406,40697,1817675
Wisconsin,2017,1839426,1424889,1573296,551684,272223,128558,5790076
Wyoming,2017,188387,149571,146967,55945,25172,10839,576881
United States,2016,104099046,84531663,84030082,28593127,14232344,6383008,321869270
Alabama,2016,1559318,1222731,1287591,464063,232540,87402,4853645
Alaska,2016,253856,200285,188597,53079,18880,6340,721037
Arizona,2016,2308474,1784878,1674993,676692,347214,133559,6925810
Arkansas,2016,988682,754290,756100,283350,146421,57785,2986628
California,2016,12863315,10998255,9821263,3065644,1526121,717009,38991607
Colorado,2016,1776011,1579428,1415050,456220,198558,84989,5510256
Connecticut,2016,1100812,857098,1027283,328690,166443,91945,3572271
Delaware,2016,288160,234163,257105,100087,47893,19127,946535
District of Columbia,2016,196049,257732,147316,47331,22907,11837,683172
Florida,2016,5894123,5124992,5472216,2255754,1264936,544660,20556681
Georgia,2016,3491963,2754341,2647409,838102,377257,139060,10248132
Hawaii,2016,419638,356039,359195,139572,66760,40105,1381309
Idaho,2016,595435,426583,406049,152800,71669,28002,1680538
Illinois,2016,4125902,3411769,3362161,1082101,546346,264077,12792356
Indiana,2016,2242014,1669851,1728824,577880,287205,129529,6635303
Iowa,2016,1053833,760880,804558,280005,153003,79569,3131848
Kansas,2016,1010331,722058,723251,244755,126927,64760,2892082
Kentucky,2016,1426553,1120416,1185257,411798,200646,79145,4423815
Louisiana,2016,1552085,1242273,1192017,402692,196190,78589,4663846
Maine,2016,365243,306404,400790,152293,73214,32919,1330863
Maryland,2016,1881519,1567273,1645851,516060,245233,114859,5970795
Massachusetts,2016,2080145,1786293,1878753,614095,303440,159490,6822216
Michigan,2016,3182118,2407693,2742635,945507,458928,213246,9950127
Minnesota,2016,1799998,1426553,1466615,471445,239029,119429,5523069
Mississippi,2016,1015354,751702,760539,265532,132813,51030,2976970
Missouri,2016,1958748,1533250,1602431,561561,290272,129236,6075498
Montana,2016,326755,250950,277510,109370,51331,22536,1038452
Nebraska,2016,664240,479900,469337,159429,83890,43010,1899806
Nevada,2016,919138,802735,747803,274334,123885,40374,2908269
New Hampshire,2016,392097,314472,408382,136009,61686,29602,1342248
New Jersey,2016,2748064,2259211,2478001,776985,400095,202036,8864392
New Mexico,2016,693972,520633,525806,202659,98930,38763,2080763
New York,2016,6005032,5289759,5243664,1727232,895814,449956,19611457
North Carolina,2016,3229145,2576269,2678466,943402,448779,177630,10053691
North Dakota,2016,261816,197105,180158,58854,32343,18594,748870
Ohio,2016,3702207,2883608,3153920,1083314,552114,255878,11631041
Oklahoma,2016,1341035,1015876,963838,341563,176906,70797,3910015
Oregon,2016,1234807,1111780,1062489,412680,185253,83834,4090843
Pennsylvania,2016,3867061,3149143,3539488,1237637,652920,336261,12782510
Rhode Island,2016,322956,264001,293176,96927,48405,28227,1053692
South Carolina,2016,1551974,1235122,1306146,512527,233531,84277,4923577
South Dakota,2016,296731,209986,216822,76878,38882,20883,860182
Tennessee,2016,2111778,1716255,1757969,626578,301857,116273,6630710
Texas,2016,10047705,7800731,6621907,1997384,951119,379603,27798449
Utah,2016,1261401,855994,601980,190745,92825,36261,3039206
Vermont,2016,186075,141631,183125,68002,30744,14202,623779
Virginia,2016,2648999,2188478,2231334,735438,350003,145552,8299804
Washington,2016,2275892,2005876,1891111,652435,289043,131032,7245389
West Virginia,2016,537067,440569,508562,203294,101434,40502,1831428
Wisconsin,2016,1850612,1413206,1585478,528789,265420,128651,5772156
Wyoming,2016,192808,151143,149761,53554,24290,10576,582132
United States,2015,104387438,83804537,83694635,27488218,13904556,6263096,319542480
Alabama,2015,1571564,1222034,1285260,449138,227741,85422,4841159
Alaska,2015,255125,196667,190564,50245,17766,6044,716411
Arizona,2015,2301558,1754750,1649756,647502,332440,128742,6814748
Arkansas,2015,992697,750202,754778,276609,143384,56537,2974207
California,2015,12975972,10871314,9765406,2943293,1490981,701477,38748443
Colorado,2015,1767917,1542133,1401566,432476,192565,82908,5419565
Connecticut,2015,1111238,863528,1031530,319084,164487,91389,3581256
Delaware,2015,289925,233068,255140,95633,46307,18435,938508
District of Columbia,2015,195533,251357,146317,45878,22413,11737,673235
Florida,2015,5849328,5012470,5375170,2164295,1222889,526551,20150703
Georgia,2015,3481769,2726643,2609138,804091,362822,134762,10119225
Hawaii,2015,423551,352174,360737,134025,65440,38874,1374801
Idaho,2015,589289,417074,400986,144807,68931,27547,1648634
Illinois,2015,4181117,3432173,3373702,1044518,538433,260970,12830913
Indiana,2015,2247573,1665749,1728561,557395,281443,127976,6608697
Iowa,2015,1055122,756929,808744,269270,151905,79272,3121242
Kansas,2015,1014942,719421,727545,234965,125799,64208,2886880
Kentucky,2015,1434110,1117943,1185999,398561,196095,78064,4410772
Louisiana,2015,1565340,1233120,1195680,386995,191801,76438,4649374
Maine,2015,368508,306065,403164,146084,71820,32315,1327956
Maryland,2015,1891800,1571449,1646634,497387,238719,112380,5958369
Massachusetts,2015,2086851,1778769,1878490,590390,299415,158591,6792506
Michigan,2015,3213989,2391973,2752409,909336,451022,211568,9930297
Minnesota,2015,1793273,1418220,1468133,450380,233919,117885,5481810
Mississippi,2015,1026791,750336,760544,257164,130420,50161,2975416
Missouri,2015,1971907,1527450,1604823,543635,284862,127201,6059878
Montana,2015,325430,246948,279292,104178,49624,22310,1027782
Nebraska,2015,660331,475894,471149,152228,83603,42311,1885516
Nevada,2015,913046,789277,735121,262999,118306,38714,2857463
New Hampshire,2015,395036,312934,408499,130143,60292,28961,1335865
New Jersey,2015,2767581,2266528,2479696,752587,395545,199317,8861254
New Mexico,2015,701991,518175,529597,194758,96319,37752,2078592
New York,2015,6078269,5294626,5260780,1671582,884197,442393,19631847
North Carolina,2015,3219533,2557072,2643518,904770,434486,173993,9933372
North Dakota,2015,263415,195378,182413,56372,32375,18320,748273
Ohio,2015,3728512,2876217,3165157,1044884,544970,253645,11613385
Oklahoma,2015,1344548,1008047,964384,331622,173795,69331,3891727
Oregon,2015,1226507,1079919,1055101,391968,179031,83315,4015841
Pennsylvania,2015,3903434,3145847,3557492,1194929,648692,333495,12783889
Rhode Island,2015,326215,262359,294392,93343,48026,28310,1052645
South Carolina,2015,1549807,1218647,1291648,489668,223424,81897,4855091
South Dakota,2015,294370,207382,217495,72695,38927,20740,851609
Tennessee,2015,2114008,1699612,1746445,605852,293906,113649,6573472
Texas,2015,9969557,7662421,6516592,1911994,921970,367915,27350449
Utah,2015,1247330,834567,590325,181144,89912,35356,2978634
Vermont,2015,188198,142223,185604,65236,29878,14096,625235
Virginia,2015,2653102,2188698,2225471,708511,338709,142039,8256530
Washington,2015,2259634,1949524,1875675,619969,279187,129338,7113327
West Virginia,2015,545488,444398,515243,197291,99717,40182,1842319
Wisconsin,2015,1860320,1413342,1591097,505197,262018,127984,5759958
Wyoming,2015,194987,151491,151673,51142,23828,10279,583400
