state	year_week	cum_baseline	cum_baseline_0_24	cum_baseline_25_44	cum_baseline_45_64	cum_baseline_65_74	cum_baseline_75_84	cum_baseline_85	cum_excess	cum_excess_0_24	cum_excess_25_44	cum_excess_45_64	cum_excess_65_74	cum_excess_75_84	cum_excess_85
New Jersey	2020_13	50.666573831141555	0.6824949758755019	2.0153498490155806	7.8188119249575845	8.897186126600754	12.625003072576593	18.627727882115536	5.369497008692234	0.03950756287075047	0.495496389742604	1.7180883399197606	0.5966075367239276	0.834438795343468	1.6853583840917254
New Jersey	2020_14	67.34240793837722	0.8790455157137596	2.683454870233388	10.469148175927664	11.853656152760813	16.85903680410695	24.59806641963464	26.237829840429235	0.09080864081105708	1.1851880469948881	5.6627610856784205	4.5692059844773425	5.824810379217094	8.90505570325044
New Jersey	2020_15	83.69898920950979	1.1020177239288844	3.4289385755677966	13.113444248305095	14.762548286289759	20.717860334436743	30.574180040981506	61.32667298101823	0.10491189307977625	2.0561289588867786	11.41309247809133	10.93858438911247	15.16680053039417	21.647154731453718
New Jersey	2020_16	99.81912745216097	1.342905976679649	4.117565537899825	15.60589378935389	17.630131758499388	24.494759460606684	36.62787092912153	96.19936086045499	0.00411368516037422	3.0485835984701013	17.617002839591706	16.465626641908436	23.954920794131986	35.109113301192394
New Jersey	2020_17	115.5882186151084	1.6011295560615446	4.778768825299233	18.166793010690284	20.32591851166237	28.468605675513835	42.24700303588113	123.3086411292094	-0.006258276442957289	3.5404298713587865	22.071382796148136	21.323925425624687	30.724920489806337	45.654240822714435
New Jersey	2020_18	131.40675507178173	1.835159835586011	5.4761911556447735	20.685373915219913	23.323167155127994	32.36773540215449	47.71912760804855	141.76909324520733	-0.024765410073019994	4.060714085990391	25.36115131847601	24.63072819310678	35.03723568178465	52.704029375922524
New Jersey	2020_19	146.9788419116441	2.078223604589609	6.071352891188667	23.12304562421025	26.192160837906208	36.171767756303296	53.34229119744607	154.24736882660147	-0.0415298758874941	4.672482731308801	28.1391403193169	27.23602188940795	37.8497744300401	56.39147933241523
New Jersey	2020_20	162.3266691415595	2.3391328061005194	6.675782421330911	25.655108431223255	28.98397880698343	39.87389857005118	58.79876810587019	163.54463606044592	-0.09769208879872104	4.908594002124232	29.98219785980695	29.05639879876769	40.09609190379571	59.59904558475008
New Jersey	2020_21	177.76175841871648	2.57532080530587	7.37073155380627	28.217668605027782	31.56936095757642	43.64582766068681	64.3828488363133	168.9829824639521	-0.0860284702255073	5.248156624673705	31.169740841005037	30.2426713384853	41.1734413084075	61.23500082160609
New Jersey	2020_22	193.08931977125724	2.8047810252871566	8.113284410873796	30.868636531533035	34.3361760848332	47.27348078681352	69.69296093191649	172.47060795357928	-0.0353086005440689	5.497010866171642	32.311980703467945	31.031987776378518	42.02867674677618	61.63626046132908
New Jersey	2020_23	208.5842468696687	3.0208811104129145	8.801467550726326	33.48898397000816	36.978337643864045	51.05327059048592	75.2413060041713	174.0774571035099	-0.0897663262490242	5.832563317229102	32.97836160486581	31.8166439074013	41.869681552888515	61.66997304737419
New Jersey	2020_24	224.00011662009388	3.262694364255632	9.457978332065903	36.00795706054042	39.76826526994864	54.85702635883779	80.64619523444546	174.65341895793603	-0.11605643419733797	5.930384023928465	33.3581751485166	32.14102543988746	41.891467708565166	61.44842307123568
New Jersey	2020_25	239.1732678400591	3.4944991885271848	10.22120687272386	38.507050492759525	42.44351676210793	58.51714040078354	85.98985412315704	174.6962157567708	-0.17544274175336777	6.072353268917236	33.53156902216143	32.181365324751795	42.13232881168513	60.95404207100859
New Jersey	2020_26	254.569898845322	3.754959417355871	10.9049693676417	41.10905762298343	45.14026508138173	62.315022079337794	91.34562527662146	174.87114631802368	-0.2527082965718111	6.196803082612544	33.76369157517226	32.1894322262436	42.01989878951891	60.95402894104816
New Jersey	2020_27	270.1463341627048	4.024335325926622	11.627349974298168	43.7862912419225	47.778080811589135	66.18729594516014	96.74298086380821	174.45677793779032	-0.3281133738375986	6.185649307535648	33.85593068851961	32.38574559189816	41.811524231216836	60.54604149245767
New Jersey	2020_28	285.38313984815534	4.273880581158195	12.309142920755251	46.28473732165372	50.63854433797484	69.95400859714296	101.92282608947032	174.18806811075183	-0.27592622481700557	6.398277982610451	34.223942767497284	32.046902629891534	41.63327766571711	60.16159328985244
New Jersey	2020_29	300.5695626731687	4.578670705079879	12.990675522957872	48.83039421822227	53.37294098591668	73.63827379205614	107.15860744893584	173.26929103234653	-0.37596936013900584	6.352539063183508	33.962831471102746	31.834126546328786	41.4835976851176	60.01216562675288
New Jersey	2020_30	315.7244678812442	4.777299800547833	13.711091317232498	51.36940819229766	56.121114246414635	77.47170785430507	112.27384647044646	172.8777338905904	-0.3590753097125564	6.246364623454877	34.35493260668457	32.08172472556325	40.95844917407081	59.59533807052946
New Jersey	2020_31	330.9351937707606	5.044288039682489	14.383810320089166	53.877197911014925	58.799436311724534	81.18292996615264	117.64753122209676	172.66743180686248	-0.46442118942641036	6.3926340933262	34.853691107064236	32.334517162437585	40.74948375323526	58.80152688022562
New Jersey	2020_32	346.2754713080672	5.295854159634369	15.149059040348083	56.39138380135914	61.51169019443838	85.05531100229364	122.87217310999355	171.81032252012997	-0.5435687926627673	6.500254666369485	35.13053026598921	32.219316937909035	40.379359408106296	58.12443003441873
New Jersey	2020_33	361.1865975996874	5.538076110550881	15.821412821839012	58.88579246771239	64.24809460169203	88.6802944332419	128.01292716465113	170.9944227113089	-0.602596069569036	6.614560865262021	35.093085735672155	32.112294657614775	40.299737365905585	57.47734015642344
New Jersey	2020_34	376.63138820898376	5.798580544738611	16.546094926444102	61.488114501930056	67.02372556032357	92.2588779544947	133.5159947210527	170.00047211217304	-0.6583535151570831	6.676538741040395	35.01238478843901	31.998374294716726	40.14797731462763	56.82355048850638
New Jersey	2020_35	392.14357989057163	6.041152992328241	17.336673386455082	64.01306332125134	69.72548882906294	96.14275360191984	138.88444775955418	168.87446329066643	-0.6961789741470298	6.618739440838672	35.26768485989553	31.829007746614472	39.62626809057403	56.22894212689075
New Jersey	2020_36	407.24999378770667	6.261960597815685	18.079733422082697	66.54297520959335	72.50983406016955	99.9041988364714	143.95129166157395	168.82235494760656	-0.6475826472664686	6.705444042053891	35.35637948496051	31.641716173693162	39.38863189590226	56.3777659982632
New Jersey	2020_37	422.3939375602501	6.433817845712605	18.774967729956128	69.0703880007398	75.24488180886856	103.58664117652364	149.2832409984493	168.6465071361209	-0.6362452211531457	6.82919820690845	35.83551491291099	31.395960520599157	39.33776034006863	55.88431837678682
New Jersey	2020_38	437.69132278429595	6.663342765877688	19.5176220910018	71.61420882711325	78.00555995137915	107.26699436043533	154.62359478848865	168.19868014952166	-0.7364562537815862	6.8193230056720315	36.061166818823956	31.307769130080068	39.24587324264002	55.50100420608716
New Jersey	2020_39	452.67777243384484	6.8314385253857735	20.262920808286808	74.09695175238673	80.7405041930749	110.94853972385307	159.79741743085748	168.24498378916365	-0.6890288673952685	6.871460432885334	36.04616418807806	31.299192421665982	38.87261343042441	55.84458218350514
New Jersey	2020_40	468.49961480915994	7.080979465995637	20.998848315087326	76.68166555650575	83.42421487075177	114.92634137664491	165.38756522417447	166.755443451243	-0.7553751339948886	6.8790882500089126	36.03695226340049	31.29874465223865	38.084559410061985	55.21147400952785
New Jersey	2020_41	484.1986154597917	7.3265794488915565	21.669104839195196	79.17731839169927	86.23025699394623	118.63966798580881	171.1556878002506	166.1538523182873	-0.8716612293541661	7.1032533474329265	36.13835362463119	31.660892468905093	37.7549515731374	54.36806253353486
New Jersey	2020_42	500.04759664343845	7.561115678092036	22.359860802228493	81.68389719194195	89.00243618921162	122.42617005929576	177.01411672266855	164.75571110807613	-0.8798981553655217	7.069843395404993	36.304262130252454	31.485766931824994	37.319839748588116	53.4558970573711
New Jersey	2020_43	516.1273359533023	7.770970709499878	23.130167023019588	84.31646239066583	91.8477725793031	126.5075517938273	182.55441145698666	164.5169378067669	-0.8850061981736798	6.946107021504417	36.322631920409734	31.528440418885634	37.32262812449828	53.282136519642506
New Jersey	2020_44	532.0416987483106	8.018064079102977	23.86619591761061	86.86409211890422	94.68912883561087	130.26523163244138	188.33898616464063	164.05559869485054	-0.8626956354087743	6.899752630263282	36.4259371810525	31.510437102181797	37.131862023499515	52.95030539326222
New Jersey	2020_45	548.0195473201554	8.265327966817996	24.613756967316963	89.41644749129367	97.66823404355479	134.03519791417168	194.0205829370004	164.96400429091767	-0.8944363772293888	7.046613202088816	36.93401082021691	31.33313252132576	37.543051422115894	53.00163270239968
New Jersey	2020_46	564.5367675028743	8.479718143848302	25.31135917248453	92.10900104364748	100.61041233154745	138.1232479406252	199.9030288707214	166.0334881615413	-0.807094150007531	6.995580843811769	37.74370877756381	31.731562673322486	37.59305237827352	52.776677638577254
