Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
07/06/2022,Idaho,2021,15,2021-04-17,278,237,,55,,,,18,,,,63,10,23,16,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,16,2021-04-24,281,244,,55,12,14,,19,,,,53,19,15,12,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,17,2021-05-01,274,222,,57,16,,,16,,,,47,12,13,10,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,18,2021-05-08,275,237,,55,17,,0,10,,,,56,11,12,10,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,19,2021-05-15,288,246,0,50,,20,,19,,,0,61,12,21,17,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
07/06/2022,Idaho,2021,20,2021-05-22,326,273,,67,10,15,,18,,,,64,12,17,12,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,21,2021-05-29,322,268,,75,,11,0,16,,,,61,17,17,16,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,22,2021-06-05,292,242,,59,,11,,18,,,,64,15,12,10,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,23,2021-06-12,324,275,,56,14,13,,22,,,,67,19,15,13,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,24,2021-06-19,316,262,,65,10,17,,13,,,,66,13,12,11,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,25,2021-06-26,294,243,,57,14,15,,20,,,,49,18,14,12,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,26,2021-07-03,313,276,,57,14,16,,19,,,,64,10,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
07/06/2022,Idaho,2021,27,2021-07-10,290,246,,52,10,11,,13,,,,54,14,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
07/06/2022,Idaho,2021,28,2021-07-17,299,266,,49,12,19,0,17,,,,64,16,10,10,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,29,2021-07-24,323,275,,62,12,18,,16,,,,50,18,18,17,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,30,2021-07-31,337,283,,69,,17,,19,,,,58,15,20,18,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,31,2021-08-07,335,273,,51,,11,,20,,,,75,,31,27,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
07/06/2022,Idaho,2021,32,2021-08-14,331,263,,53,13,20,,17,,,,58,15,43,38,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,33,2021-08-21,346,260,,70,,,,13,,,,68,15,46,45,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,34,2021-08-28,361,255,,50,,14,,14,,,,59,18,77,70,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,35,2021-09-04,410,281,,56,24,16,,17,,,,61,14,93,91,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,36,2021-09-11,398,252,,48,17,17,,,,,,56,11,114,110,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,37,2021-09-18,465,298,,58,,21,,19,,,,81,17,151,136,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,38,2021-09-25,515,321,,61,14,25,,19,,,,75,23,179,167,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,39,2021-10-02,509,292,,62,11,15,,21,,,,71,15,191,177,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,40,2021-10-09,499,297,,55,14,20,,20,,,,62,19,175,162,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,41,2021-10-16,477,323,,69,14,21,,23,,,,78,15,141,126,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,42,2021-10-23,469,325,,71,14,14,,22,,,,80,13,128,112,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,43,2021-10-30,443,287,,45,,21,,18,,,,79,18,136,129,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,44,2021-11-06,429,295,,65,10,15,,19,,,,69,15,105,95,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,45,2021-11-13,415,285,,59,12,18,,21,,,,72,11,100,92,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,46,2021-11-20,401,309,,74,,15,,23,,,,65,17,61,55,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,47,2021-11-27,381,305,,70,,17,,20,,,,64,15,51,47,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,48,2021-12-04,349,275,,60,13,10,,22,,,,61,20,61,52,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,49,2021-12-11,370,304,,56,,16,,26,,,,83,,42,38,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
07/06/2022,Idaho,2021,50,2021-12-18,360,282,,67,,18,,16,,,,66,10,47,44,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,51,2021-12-25,399,326,,65,,17,,23,,,,80,17,55,48,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2021,52,2022-01-01,338,273,,51,,20,,23,0,,,70,12,41,38,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2022,1,2022-01-08,290,234,0,42,10,13,,17,,,,68,,34,32,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
07/06/2022,Idaho,2022,2,2022-01-15,345,281,,68,,17,,25,,,,61,18,51,42,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2022,3,2022-01-22,326,251,0,60,12,20,,13,,,,51,,50,41,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
07/06/2022,Idaho,2022,4,2022-01-29,354,270,,55,,14,,24,,,11,56,17,71,61,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
07/06/2022,Idaho,2022,5,2022-02-05,353,268,,57,,22,,14,,,,58,17,78,66,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2022,6,2022-02-12,384,291,,64,13,20,,16,,,,69,11,99,74,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2022,7,2022-02-19,332,255,,48,,11,,19,,,,68,10,71,57,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2022,8,2022-02-26,281,235,,56,,11,,21,,,,53,10,44,33,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2022,9,2022-03-05,277,238,,46,12,11,,16,,,,59,16,31,24,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
07/06/2022,Idaho,2022,10,2022-03-12,306,265,,64,,,,14,,,10,55,17,17,12,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
07/06/2022,Idaho,2022,11,2022-03-19,267,248,,57,,17,,18,,,,52,13,13,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
07/06/2022,Idaho,2022,12,2022-03-26,277,248,,50,,10,,17,,,10,50,17,10,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9)
07/06/2022,Idaho,2022,13,2022-04-02,212,195,,43,,15,,10,,,,38,12,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
07/06/2022,Idaho,2022,14,2022-04-09,216,195,,43,,13,,17,,,,49,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
07/06/2022,Idaho,2022,15,2022-04-16,238,223,0,39,,12,,11,,,11,44,12,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
07/06/2022,Idaho,2022,16,2022-04-23,255,239,,46,,,,12,,,13,62,11,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
07/06/2022,Idaho,2022,17,2022-04-30,241,230,,56,,18,,20,,0,13,37,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
07/06/2022,Idaho,2022,18,2022-05-07,265,250,,47,,13,,10,,,13,65,12,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
07/06/2022,Idaho,2022,19,2022-05-14,242,227,,43,,11,,13,,,14,56,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
07/06/2022,Idaho,2022,20,2022-05-21,224,217,,49,10,11,,17,,,11,60,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
07/06/2022,Idaho,2022,21,2022-05-28,244,239,0,49,12,15,,23,,,14,58,10,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
07/06/2022,Idaho,2022,22,2022-06-04,241,237,,49,,14,,11,,,18,52,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
07/06/2022,Idaho,2022,23,2022-06-11,294,290,,54,,21,,14,,,24,74,20,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
07/06/2022,Idaho,2022,24,2022-06-18,219,216,,32,,12,,16,,,18,47,12,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
07/06/2022,Idaho,2022,25,2022-06-25,221,214,,43,,17,,15,,,18,45,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
07/06/2022,Illinois,2020,1,2020-01-04,2191,2007,29,427,57,74,46,106,43,57,24,520,119,0,0,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,2,2020-01-11,2252,2080,47,477,65,93,57,131,27,43,21,511,131,0,0,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,3,2020-01-18,2231,2065,30,476,59,94,62,116,39,70,21,489,140,0,0,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,4,2020-01-25,2199,2033,33,447,72,87,55,110,21,51,17,519,137,0,0,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,5,2020-02-01,2137,1984,33,450,61,76,72,120,26,60,26,482,131,0,0,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,6,2020-02-08,2232,2053,25,449,63,74,52,117,32,58,30,543,116,0,0,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,7,2020-02-15,2216,2054,32,451,59,88,61,117,32,60,19,525,130,0,0,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,8,2020-02-22,2207,2052,36,460,65,82,63,118,40,55,15,504,117,0,0,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,9,2020-02-29,2209,2022,34,460,56,86,62,110,36,49,26,538,115,0,0,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,10,2020-03-07,2254,2081,40,466,67,73,93,134,27,53,18,524,120,0,0,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,11,2020-03-14,2191,2019,34,455,54,75,87,99,38,61,22,530,127,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
07/06/2022,Illinois,2020,12,2020-03-21,2283,2088,36,472,48,102,84,128,33,57,32,509,119,14,14,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,13,2020-03-28,2304,2087,28,448,71,111,81,129,40,55,21,489,130,73,72,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,14,2020-04-04,2622,2148,33,478,72,103,77,125,31,62,21,544,108,299,293,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,15,2020-04-11,2870,2211,32,469,90,96,54,125,24,59,20,601,135,469,459,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,16,2020-04-18,2912,2170,22,459,84,104,74,123,28,60,20,538,131,591,569,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,17,2020-04-25,3010,2172,21,453,63,95,50,111,33,48,30,565,135,677,657,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,18,2020-05-02,2952,2060,26,444,66,107,51,118,26,47,16,533,134,741,703,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,19,2020-05-09,2962,1992,29,424,64,86,51,101,30,48,24,522,134,789,756,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,20,2020-05-16,2865,2005,30,469,76,81,37,88,30,59,19,493,122,699,671,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,21,2020-05-23,2638,1937,41,455,61,81,48,90,33,51,22,507,133,574,539,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,22,2020-05-30,2547,1873,20,438,65,80,34,114,21,49,30,479,109,470,443,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,23,2020-06-06,2511,1852,38,449,70,76,25,81,31,38,18,477,118,430,400,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,24,2020-06-13,2270,1792,18,426,64,79,27,88,21,41,24,472,111,319,294,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,25,2020-06-20,2255,1806,20,400,51,85,26,90,15,49,23,491,127,270,235,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,26,2020-06-27,2134,1799,35,426,65,78,30,87,27,53,19,463,108,150,130,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,27,2020-07-04,2182,1842,31,427,47,82,35,91,26,44,17,462,130,147,132,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,28,2020-07-11,2189,1850,36,430,62,83,37,87,23,43,37,483,109,111,100,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,29,2020-07-18,2087,1824,23,466,57,74,28,73,19,43,33,462,119,89,80,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,30,2020-07-25,2034,1751,22,425,65,64,27,79,15,38,24,465,112,82,75,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,31,2020-08-01,2071,1807,28,441,65,89,31,60,25,35,22,459,125,90,82,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,32,2020-08-08,2138,1878,37,440,56,82,38,94,18,40,18,485,105,98,85,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,33,2020-08-15,2126,1841,34,471,53,64,35,91,16,38,26,476,105,104,86,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,34,2020-08-22,2151,1863,39,437,77,76,28,82,26,67,23,453,128,98,81,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,35,2020-08-29,2120,1793,22,445,58,67,26,72,21,40,19,501,113,132,122,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,36,2020-09-05,2198,1896,37,422,65,88,33,91,26,39,30,513,115,119,103,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,37,2020-09-12,2080,1777,19,412,49,82,18,86,24,44,26,457,133,119,96,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,38,2020-09-19,2080,1785,30,412,69,84,37,91,21,29,23,470,110,131,104,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,39,2020-09-26,2295,1976,27,481,65,73,39,92,30,43,25,489,135,142,119,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,40,2020-10-03,2138,1825,25,450,59,79,39,90,23,36,25,467,121,150,117,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,41,2020-10-10,2333,2006,26,434,72,86,40,85,31,42,22,523,133,189,155,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,42,2020-10-17,2281,1904,25,409,61,93,39,100,29,38,20,500,122,229,190,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,43,2020-10-24,2290,1894,32,417,66,99,40,88,23,44,24,476,123,266,220,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,44,2020-10-31,2455,1977,25,438,69,106,28,92,28,57,21,519,114,333,294,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,45,2020-11-07,2699,2044,30,447,73,106,38,95,30,51,26,522,145,513,466,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,46,2020-11-14,2905,2080,30,455,71,93,31,98,31,48,30,537,152,675,621,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,47,2020-11-21,3186,2161,29,466,86,79,38,122,17,58,34,590,126,941,841,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,48,2020-11-28,3151,2138,33,451,72,108,34,92,29,48,38,565,152,941,826,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,49,2020-12-05,3282,2169,34,452,82,102,43,109,32,48,30,574,141,1029,941,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,50,2020-12-12,3345,2262,35,487,69,114,40,120,26,64,28,600,130,1039,916,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,51,2020-12-19,3130,2111,27,490,67,119,36,107,25,53,41,523,133,923,828,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,52,2020-12-26,3040,2063,27,408,60,107,50,88,27,43,26,567,108,875,786,,,,,,,,,,,,,,,
07/06/2022,Illinois,2020,53,2021-01-02,3031,2181,35,448,66,99,32,113,29,45,26,597,150,802,697,,,,,,,,,,,,,,,
07/06/2022,Illinois,2021,1,2021-01-09,2794,2058,37,387,51,105,44,91,23,55,27,598,135,646,577,,,,,,,,,,,,,,,
07/06/2022,Illinois,2021,2,2021-01-16,2734,2050,32,462,84,104,42,80,38,41,32,517,113,568,502,,,,,,,,,,,,,,,
07/06/2022,Illinois,2021,3,2021-01-23,2609,2007,52,410,60,86,38,97,28,50,26,522,143,477,430,,,,,,,,,,,,,,,
07/06/2022,Illinois,2021,4,2021-01-30,2585,2027,31,472,60,84,34,81,33,59,19,522,145,445,402,,,,,,,,,,,,,,,
07/06/2022,Illinois,2021,5,2021-02-06,2562,2082,37,452,67,90,34,109,30,44,28,536,124,347,299,,,,,,,,,,,,,,,
07/06/2022,Illinois,2021,6,2021-02-13,2476,2031,23,456,71,89,31,93,26,47,25,550,142,330,290,,,,,,,,,,,,,,,
07/06/2022,Illinois,2021,7,2021-02-20,2439,2079,38,476,76,71,31,89,34,50,21,534,141,222,199,,,,,,,,,,,,,,,
07/06/2022,Illinois,2021,8,2021-02-27,2333,1973,35,456,68,87,31,79,33,42,25,491,141,212,178,,,,,,,,,,,,,,,
07/06/2022,Illinois,2021,9,2021-03-06,2179,1864,35,417,73,71,26,83,22,46,26,485,118,145,131,,,,,,,,,,,,,,,
07/06/2022,Illinois,2021,10,2021-03-13,2110,1828,30,440,54,76,39,89,32,46,24,466,121,124,104,,,,,,,,,,,,,,,
07/06/2022,Illinois,2021,11,2021-03-20,2119,1832,27,438,48,84,29,103,20,54,24,465,131,120,100,,,,,,,,,,,,,,,
07/06/2022,Illinois,2021,12,2021-03-27,2128,1823,26,440,77,87,34,77,23,62,10,459,118,121,113,,,,,,,,,,,,,,,
07/06/2022,Illinois,2021,13,2021-04-03,2179,1885,37,406,69,58,32,109,29,62,24,480,144,119,106,,,,,,,,,,,,,,,
07/06/2022,Illinois,2021,14,2021-04-10,2231,1883,24,446,54,84,25,83,25,56,34,473,100,133,124,,,,,,,,,,,,,,,
07/06/2022,Illinois,2021,15,2021-04-17,2108,1718,25,378,57,78,23,89,23,45,20,445,120,180,169,,,,,,,,,,,,,,,
07/06/2022,Illinois,2021,16,2021-04-24,2221,1863,24,410,57,56,33,107,29,47,17,494,138,200,178,,,,,,,,,,,,,,,
07/06/2022,Illinois,2021,17,2021-05-01,2224,1885,29,476,70,53,29,86,34,50,30,473,117,197,175,,,,,,,,,,,,,,,
